阿拉伯語	阿拉伯语	Ā lā bó yǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
奧運會	奥运会	Ào yùn huì	abbr. for 奧林匹克運動會|奥林匹克运动会, Olympic Games, the Olympics	[sound:cmn-奥运会.mp3]
八卦	八卦	bā guà	the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1], gossip, gossipy	[sound:cmn-八卦.mp3]
巴不得	巴不得	bā bu de	(coll.) to be eager for, to long for, to look forward to	[sound:cmn-巴不得.mp3]
扒	扒	bā, pá	to peel, to skin, to tear, to pull down, to cling to (sth on which one is climbing), to dig, to rake up, to steal, to braise, to crawl	[sound:cmn-扒.mp3]
芭蕾	芭蕾	bā lěi	ballet (loanword)	[sound:cmn-芭蕾.mp3]
把柄	把柄	bǎ bǐng	handle, (fig.) information that can be used against sb	[sound:cmn-把柄.mp3]
把關	把关	bǎ guān	to guard a pass, to check on sth	[sound:cmn-把关.mp3]
把手	把手	bǎ shoǔ	handle, grip, knob	[sound:cmn-把手.mp3]
靶子	靶子	bǎ zi	target	[sound:cmn-靶子.mp3]
壩	坝	bà	dam, dike, embankment, CL:條|条[tiao2]	[sound:cmn-坝.mp3]
罷免	罢免	bà miǎn	to remove sb from their post, to dismiss	[sound:cmn-罢免.mp3]
罷休	罢休	bà xiū	to give up, to abandon (a goal etc), to let sth go, forget it, let the matter drop	[sound:cmn-罢休.mp3]
霸佔	霸占	bà zhàn	to occupy by force, to seize, to dominate	[sound:cmn-霸占.mp3]
掰	掰	bāi	to break off or break open sth with one's hands, (fig.) to break off (a relationship)	[sound:cmn-掰.mp3]
白白	白白	bái bái	in vain, to no purpose, for nothing, white	[sound:cmn-白白.mp3]
百分比	百分比	bǎifēnbǐ	percent, per centum, pct, percentage, percent(age)	[sound:cmn-百分比.mp3]
百合	百合	bǎi hé	lily	[sound:cmn-百合.mp3]
百科全書	百科全书	bǎi kē quán shū	encyclopedia, CL:本[ben3],集[ji2]	[sound:cmn-百科全书.mp3]
柏樹	柏树	bǎi shù	cypress tree, Taiwan pr. [bo2 shu4]	[sound:cmn-柏树.mp3]
擺放	摆放	bǎi fàng	to set up, to arrange, to lay out	[sound:cmn-摆放.mp3]
擺平	摆平	bǎi píng	to be fair, to be impartial, to settle (a matter etc)	[sound:cmn-摆平.mp3]
擺設	摆设	bǎishè	furnish and decorate (room)	[sound:cmn-摆设.mp3]
拜會	拜会	bàihuì	pay sb. a visit	[sound:cmn-拜会.mp3]
拜見	拜见	bài jiàn	to pay a formal visit, to call to pay respects, to meet one's senior or superior	[sound:cmn-拜见.mp3]
拜年	拜年	bài nián	to pay a New Year call, to wish sb a Happy New Year	[sound:cmn-拜年.mp3]
拜託	拜托	bài tuō	to request sb to do sth, please!	[sound:cmn-拜托.mp3]
扳	扳	bān, pān	to pull, to turn (sth) around, to turn around (a situation), to recoup, variant of 攀[pan1]	[sound:cmn-扳.mp3]
頒布	颁布	bān bù	to issue, to proclaim, to enact (laws, decrees etc)	[sound:cmn-颁布.mp3]
頒發	颁发	bānfā	issue, promulgate, award	[sound:cmn-颁发.mp3]
頒獎	颁奖	bānjiǎng	present reward/honor	[sound:cmn-颁奖.mp3]
斑點	斑点	bān diǎn	spot, stain, speckle	[sound:cmn-斑点.mp3]
搬遷	搬迁	bān qiān	to move, to relocate, removal	[sound:cmn-搬迁.mp3]
板塊	板块	bǎn kuài	block, slab, tectonic plate, continental plate	[sound:cmn-板块.mp3]
辦不到	办不到	bàn bu dào	impossible, can't be done, no can do, unable to accomplish	[sound:cmn-办不到.mp3]
半邊天	半边天	bàn biān tiān	half the sky, women of the new society, womenfolk	[sound:cmn-半边天.mp3]
半場	半场	bàn chǎng	half of a game or contest, half-court	[sound:cmn-半场.mp3]
半島	半岛	bàn dǎo	peninsula	[sound:cmn-半岛.mp3]
半路	半路	bàn lù	halfway, midway, on the way	[sound:cmn-半路.mp3]
半數	半数	bànshù	half, half (the number), det.: half	[sound:cmn-半数.mp3]
半途而廢	半途而废	bàn tú ér fèi	to give up halfway (idiom), leave sth unfinished	[sound:cmn-半途而废.mp3]
半信半疑	半信半疑	bàn xìn bàn yí	half doubting, dubious, skeptical	[sound:cmn-半信半疑.mp3]
半真半假	半真半假	bàn zhēn bàn jiǎ	(idiom) half true and half false	[sound:cmn-半真半假.mp3]
扮	扮	bàn	to disguise oneself as, to dress up, to play (a role), to put on (an expression)	[sound:cmn-扮.mp3]
伴	伴	bàn	accompany	[sound:cmn-伴.mp3]
伴侶	伴侣	bànlǔ	companion, mate, helpmate, coachfellow, familiar, partner, fere, company	[sound:cmn-伴侣.mp3]
伴隨	伴随	bànsuí	accompany, follow	[sound:cmn-伴随.mp3]
伴奏	伴奏	bànzòu	accompany (with musical instruments)	[sound:cmn-伴奏.mp3]
拌	拌	bàn	to mix, to mix in, to toss (a salad)	[sound:cmn-拌.mp3]
幫手	帮手	bāng shoǔ	helper, assistant	[sound:cmn-帮手.mp3]
綁	绑	bǎng	bind, tie, bind sb.'s hands behind him, truss up	[sound:cmn-绑.mp3]
綁架	绑架	bǎng jià	to kidnap, to abduct, to hijack, a kidnapping, abduction, staking	[sound:cmn-绑架.mp3]
榜樣	榜样	bǎng yàng	example, model, CL:個|个[ge4]	[sound:cmn-榜样.mp3]
棒球	棒球	bàngqiú	no-hitter, apple, grounder, baseball game, homer, change-up, baseball, extra innings, curve, ball game, horsehide, infielder	[sound:cmn-棒球.mp3]
磅	磅	bàng	see 磅秤 scale, platform balance, (loanword) pound (unit of weight, about 454 grams)	[sound:cmn-磅.mp3]
包袱	包袱	bāofú	cloth wrapper, bundle wrapped in cloth, burden, millstone round one's neck, punch line (in cross-talk)	[sound:cmn-包袱.mp3]
包容	包容	bāoróng	forgive, pardon, contain	[sound:cmn-包容.mp3]
包紮	包扎	bāo zā	to wrap up, to pack, to bind up (a wound)	[sound:cmn-包扎.mp3]
剝	剥	bāo, bō	to peel, to skin, to shell, to shuck, to peel, to skin, to flay, to shuck	[sound:cmn-剥.mp3]
煲	煲	bāo	to cook slowly over a low flame, pot, saucepan	[sound:cmn-煲.mp3]
飽和	饱和	bǎo hé	saturation	[sound:cmn-饱和.mp3]
飽滿	饱满	bǎo mǎn	full, plump	[sound:cmn-饱满.mp3]
寶庫	宝库	bǎo kù	treasure-house, treasury, treasure-trove (often fig., book of treasured wisdom)	[sound:cmn-宝库.mp3]
寶藏	宝藏	bǎo zàng	precious (mineral) deposits, (budd.) the treasure of Buddha's law	[sound:cmn-宝藏.mp3]
保管	保管	bǎo guǎn	to hold in safekeeping, to have in one's care, to guarantee, certainly, surely, custodian, curator	[sound:cmn-保管.mp3]
保姆	保姆	bǎo mǔ	nanny, housekeeper	[sound:cmn-保姆.mp3]
保暖	保暖	bǎo nuǎn	to stay warm, to protect against the cold	[sound:cmn-保暖.mp3]
保鮮	保鲜	bǎoxiān	Preservation	[sound:cmn-保鲜.mp3]
保修	保修	bǎo xiū	to promise to keep sth in good repair, guarantee, warranty	[sound:cmn-保修.mp3]
保佑	保佑	bǎo yoù	to bless and protect, blessing	[sound:cmn-保佑.mp3]
保障	保障	bǎozhàng	ensure, guarantee, safeguard	[sound:cmn-保障.mp3]
保質期	保质期	bǎo zhì qī	date of use (on foodstuffs), best before date	[sound:cmn-保质期.mp3]
保重	保重	bǎo zhòng	to take care of oneself	[sound:cmn-保重.mp3]
堡壘	堡垒	bǎo lěi	fort	[sound:cmn-堡垒.mp3]
報	报	bào	newspaper, periodical, bulletin, telegram	[sound:cmn-报.mp3]
報仇	报仇	bào choú	to take revenge, to avenge	[sound:cmn-报仇.mp3]
報酬	报酬	bàochóu	emolument, reward, fee, recompense, earnings, gratuity, requital, retribution, price, harvest, remuneration, quittance, pay, consideration, salary, compensation, honorarium, payment, meed, gratification, wage, guerdon	[sound:cmn-报酬.mp3]
報廢	报废	bào fèi	to scrap, to be written off	[sound:cmn-报废.mp3]
報復	报复	bào fù	to make reprisals, to retaliate, revenge, retaliation	[sound:cmn-报复.mp3]
報社	报社	bào shè	newspaper (i.e. a company), CL:家[jia1]	[sound:cmn-报社.mp3]
報亭	报亭	bào tíng	kiosk, newsstand	[sound:cmn-报亭.mp3]
報銷	报销	bào xiāo	to submit an expense account, to apply for reimbursement, to write off, to wipe out	[sound:cmn-报销.mp3]
抱負	抱负	bàofù	aspiration, ambition	[sound:cmn-抱负.mp3]
豹	豹	bào	leopard, panther	[sound:cmn-豹.mp3]
暴風驟雨	暴风骤雨	bào fēng zhoù yǔ	violent wind and rainstorm, hurricane, tempest	[sound:cmn-暴风骤雨.mp3]
暴利	暴利	bào lì	sudden huge profits	[sound:cmn-暴利.mp3]
暴躁	暴躁	bào zào	irascible, irritable, violent	[sound:cmn-暴躁.mp3]
曝光	曝光	pùguāng	expose	[sound:cmn-曝光.mp3]
爆冷門	爆冷门	bào lěng mén	an upset (esp. in sports), unexpected turn of events, to pull off a coup, a breakthrough	[sound:cmn-爆冷门.mp3]
爆滿	爆满	bào mǎn	filled to capacity (of theater, stadium, gymnasium etc)	[sound:cmn-爆满.mp3]
爆竹	爆竹	bào zhú	firecracker	[sound:cmn-爆竹.mp3]
卑鄙	卑鄙	bēi bǐ	base, mean, contemptible, despicable	[sound:cmn-卑鄙.mp3]
悲哀	悲哀	bēiāi	grieved, sorrowful	[sound:cmn-悲哀.mp3]
悲觀	悲观	bēiguān	pessimistic	[sound:cmn-悲观.mp3]
悲歡離合	悲欢离合	bēi huān lí hé	joys and sorrows, partings and reunions, the vicissitudes of life	[sound:cmn-悲欢离合.mp3]
悲痛	悲痛	bēi tòng	grieved, sorrowful	[sound:cmn-悲痛.mp3]
碑	碑	bēi	a monument, an upright stone tablet, stele, CL:塊|块[kuai4],面[mian4]	[sound:cmn-碑.mp3]
貝殼	贝壳	bèiké	cowrie, shell, cameo, conch, seashell, valve, clamshell	[sound:cmn-贝壳.mp3]
備課	备课	bèi kè	(of a teacher) to prepare lessons	[sound:cmn-备课.mp3]
備受	备受	bèishòu	fully experience (good or bad)	[sound:cmn-备受.mp3]
備用	备用	bèi yòng	reserve, spare, alternate, backup	[sound:cmn-备用.mp3]
背面	背面	bèi miàn	the back, the reverse side, the wrong side	[sound:cmn-背面.mp3]
背叛	背叛	bèi pàn	to betray	[sound:cmn-背叛.mp3]
背誦	背诵	bèi sòng	to recite, to repeat from memory	[sound:cmn-背诵.mp3]
被捕	被捕	bèi bǔ	to be arrested, under arrest	[sound:cmn-被捕.mp3]
奔波	奔波	bēnbō	rush about, be busy running about	[sound:cmn-奔波.mp3]
奔赴	奔赴	bēn fù	to rush to, to hurry to	[sound:cmn-奔赴.mp3]
本分	本分	běn fèn	(to play) one's part, one's role, one's duty, (to stay within) one's bounds, dutiful, keeping to one's role	[sound:cmn-本分.mp3]
本能	本能	běnnéng	whim, appetence, vagary, instinct, instinctive, native ability, inherent aptitude, impulse, caprice, faculty	[sound:cmn-本能.mp3]
本錢	本钱	běnqián	principal, capital	[sound:cmn-本钱.mp3]
本色	本色	běn sè, běn shǎi	inherent qualities, natural qualities, distinctive character, true qualities, natural color	[sound:cmn-本色.mp3]
本性	本性	běn xìng	natural instincts, nature, inherent quality	[sound:cmn-本性.mp3]
本意	本意	běn yì	original idea, real intention, etymon	[sound:cmn-本意.mp3]
本著	本着	běn zhe	based on..., in conformance with.., taking as one's main principle	[sound:cmn-本着.mp3]
奔	奔	bēn	hurry, rush, be getting on for, head for, flee, run, run quickly, approach, hasten, be getting close to, go straight towards	[sound:cmn-奔.mp3]
笨蛋	笨蛋	bèn dàn	fool, idiot	[sound:cmn-笨蛋.mp3]
笨重	笨重	bèn zhòng	heavy, cumbersome, unwieldy	[sound:cmn-笨重.mp3]
崩潰	崩溃	bēngkuì	collapse, fall apart	[sound:cmn-崩溃.mp3]
繃	绷	běng	to stretch, taut, to tie, to bind, to have a taut face	[sound:cmn-绷.mp3]
繃帶	绷带	bēng dài	bandage (loanword)	[sound:cmn-绷带.mp3]
蹦	蹦	bèng	to jump, to bounce, to hop	[sound:cmn-蹦.mp3]
逼近	逼近	bījìn	press on towards, approach	[sound:cmn-逼近.mp3]
逼迫	逼迫	bī pò	to force, to compel, to coerce	[sound:cmn-逼迫.mp3]
逼真	逼真	bī zhēn	lifelike, true to life, distinctly, clearly	[sound:cmn-逼真.mp3]
鼻涕	鼻涕	bí tì	nasal mucus, snivel	[sound:cmn-鼻涕.mp3]
比比皆是	比比皆是	bǐ bǐ jiē shì	can be found everywhere	[sound:cmn-比比皆是.mp3]
比不上	比不上	bǐbúshàng	not compare with	[sound:cmn-比不上.mp3]
比起	比起	bǐ qǐ	compared with	[sound:cmn-比起.mp3]
比試	比试	bǐ shì	to have a competition, to measure with one's hand or arm, to make a gesture of measuring	[sound:cmn-比试.mp3]
比喻	比喻	bǐyū	metaphor, analogy	[sound:cmn-比喻.mp3]
鄙視	鄙视	bǐ shì	to despise, to disdain, to look down upon	[sound:cmn-鄙视.mp3]
必不可少	必不可少	bì bù kě shǎo	absolutely necessary, indispensable, essential	[sound:cmn-必不可少.mp3]
必定	必定	bìdìng	inevitably, sure, for sure, by all means, needs, necessarily, sure enough, sure as shooting, be sure to, surely, certainly, of necessity, for certain	[sound:cmn-必定.mp3]
碧綠	碧绿	bì lǜ	dark green	[sound:cmn-碧绿.mp3]
弊病	弊病	bì bìng	malady, evil, malpractice, drawback, disadvantage	[sound:cmn-弊病.mp3]
弊端	弊端	bì duān	malpractice, abuse, corrupt practice	[sound:cmn-弊端.mp3]
壁畫	壁画	bì huà	mural (painting), fresco	[sound:cmn-壁画.mp3]
避難	避难	bì nàn	refuge, to take refuge, to seek asylum (political etc)	[sound:cmn-避难.mp3]
避暑	避暑	bì shǔ	to be away for the summer holidays, to spend a holiday at a summer resort, to prevent sunstroke	[sound:cmn-避暑.mp3]
邊疆	边疆	biān jiāng	border area, borderland, frontier, frontier region	[sound:cmn-边疆.mp3]
邊界	边界	biānjiè	confine, margin, bounds, marchland, boundary, demarcation line, demarcation, borderline, precinct, skirt, frontier, list, borderland, delimitation, butting, bound, boundary line, perimeter, outskirts, coast, march, line, border, mete, limit, skirting, edge	[sound:cmn-边界.mp3]
邊遠	边远	biān yuǎn	far from the center, remote, outlying	[sound:cmn-边远.mp3]
編號	编号	biān hào	to number, numbering, serial number	[sound:cmn-编号.mp3]
編劇	编剧	biān jù	to write a play, scenario, dramatist, screenwriter	[sound:cmn-编剧.mp3]
編排	编排	biān pái	to arrange, to lay out	[sound:cmn-编排.mp3]
編寫	编写	biān xiě	to compile	[sound:cmn-编写.mp3]
編造	编造	biān zào	to compile, to draw up, to fabricate, to invent, to concoct, to make up, to cook up	[sound:cmn-编造.mp3]
鞭策	鞭策	biān cè	to spur on, to urge on, to encourage sb (e.g. to make progress)	[sound:cmn-鞭策.mp3]
鞭炮	鞭炮	biān pào	firecrackers, string of small firecrackers, CL:枚[mei2]	[sound:cmn-鞭炮.mp3]
貶值	贬值	biǎn zhí	to become devaluated, to devaluate, to depreciate	[sound:cmn-贬值.mp3]
變革	变革	biàngé	change, revolution	[sound:cmn-变革.mp3]
變幻莫測	变幻莫测	biàn huàn mò cè	to change unpredictably, unpredictable, erratic, treacherous	[sound:cmn-变幻莫测.mp3]
變遷	变迁	biànqiān	vicissitudinary, change	[sound:cmn-变迁.mp3]
變異	变异	biànyì	variation	[sound:cmn-变异.mp3]
變質	变质	biàn zhì	to degenerate, to go bad, to deteriorate, metamorphosis	[sound:cmn-变质.mp3]
便道	便道	biàn dào	pavement, sidewalk, shortcut, makeshift road	[sound:cmn-便道.mp3]
便飯	便饭	biàn fàn	an ordinary meal, simple home cooking	[sound:cmn-便饭.mp3]
便捷	便捷	biàn jié	convenient and fast	[sound:cmn-便捷.mp3]
便利店	便利店	biàn lì diàn	convenience store	[sound:cmn-便利店.mp3]
遍布	遍布	biàn bù	to cover the whole (area), to be found throughout	[sound:cmn-遍布.mp3]
辨別	辨别	biàn bié	to differentiate, to distinguish, to discriminate	[sound:cmn-辨别.mp3]
辨認	辨认	biàn rèn	to recognize, to identify	[sound:cmn-辨认.mp3]
辯	辩	biàn	to dispute, to debate, to argue, to discuss	[sound:cmn-辩.mp3]
辯護	辩护	biàn hù	to speak in defense of, to argue in favor of, to defend, to plead	[sound:cmn-辩护.mp3]
辯解	辩解	biàn jiě	to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself	[sound:cmn-辩解.mp3]
辮子	辫子	biàn zi	plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根[gen1],條|条[tiao2]	[sound:cmn-辫子.mp3]
標	标	biāo	mark, sign, label, to mark with a symbol, label, lettering etc, to bear (a brand name, registration number etc), prize, award, bid, target, quota, (old) the topmost branches of a tree, visible symptom, classifier for military units	[sound:cmn-标.mp3]
標榜	标榜	biāobǎng	excessively praise, parade, glorify, advertisement, boast, boost, advertise, flaunt	[sound:cmn-标榜.mp3]
標本	标本	biāoběn	example, representative, pattern, specimen, root cause and symptoms of disease, sample, model	[sound:cmn-标本.mp3]
標籤	标签	biāoqiān	mark, ticket, gummed label, tab, markup, sticker, label, tally, tag	[sound:cmn-标签.mp3]
標示	标示	biāoshì	label	[sound:cmn-标示.mp3]
標語	标语	biāo yǔ	written slogan, placard, CL:幅[fu2],張|张[zhang1],條|条[tiao2]	[sound:cmn-标语.mp3]
標致	标致	biāo zhi	Peugeot, beautiful (of woman), pretty	[sound:cmn-标致.mp3]
飆升	飙升	biāo shēng	to rise rapidly, to soar	[sound:cmn-飙升.mp3]
表白	表白	biǎo bái	to explain oneself, to express, to reveal one's thoughts or feelings, declaration, confession	[sound:cmn-表白.mp3]
表決	表决	biǎojué	(decide by) vote	[sound:cmn-表决.mp3]
表述	表述	biǎo shù	to formulate, enunciation, to explain sth precisely	[sound:cmn-表述.mp3]
表率	表率	biǎo shuài	example, model	[sound:cmn-表率.mp3]
表態	表态	biǎo tài	to declare one's position, to say where one stands	[sound:cmn-表态.mp3]
表彰	表彰	biǎo zhāng	to honor, to commend, to cite (in dispatches)	[sound:cmn-表彰.mp3]
憋	憋	biē	to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath)	[sound:cmn-憋.mp3]
彆具匠心	别具匠心	biéjùjiàngxīn	Unique	[sound:cmn-别具匠心.mp3]
彆看	别看	biékàn	Don't look at	[sound:cmn-别看.mp3]
別墅	别墅	biéshù	villa	[sound:cmn-别墅.mp3]
彆說	别说	biéshuō	Don't say	[sound:cmn-别说.mp3]
別提了	别提了	bié tí le	say no more, don't bring it up, drop the subject	[sound:cmn-别提了.mp3]
別致	别致	bié zhì	unusual, unique, variant of 別緻|别致[bie2 zhi4]	[sound:cmn-别致.mp3]
彆扭	别扭	biè niu	awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche	[sound:cmn-别扭.mp3]
彬彬有禮	彬彬有礼	bīn bīn yoǔ lǐ	refined and courteous, urbane	[sound:cmn-彬彬有礼.mp3]
濱海	滨海	bīn hǎi	Binhai (place name), Binhai New District, subprovincial district of Tianjin, Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu, fictitious city Binhai in political satire, coastal, bordering the sea	[sound:cmn-滨海.mp3]
繽紛	缤纷	bīn fēn	vast and various, rich and diverse	[sound:cmn-缤纷.mp3]
冰棍兒	冰棍儿	bīnggùnr	ice lolly, popsicle	[sound:cmn-冰棍儿.mp3]
冰山	冰山	bīng shān	iceberg, CL:座[zuo4]	[sound:cmn-冰山.mp3]
丙	丙	bǐng	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1], third in order, letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc, ancient Chinese compass point: 165°, propyl	[sound:cmn-丙.mp3]
秉承	秉承	bǐng chéng	to take orders, to receive commands, to carry on (a tradition)	[sound:cmn-秉承.mp3]
並非	并非	bìng fēi	really isn't	[sound:cmn-并非.mp3]
併購	并购	bìnggòu	merge into	[sound:cmn-并购.mp3]
並列	并列	bìngliè	appose, collocate, stand side by side, be juxtaposed, juxtapose	[sound:cmn-并列.mp3]
並行	并行	bìng xíng	to proceed in parallel, side by side (of two processes, developments, thoughts etc)	[sound:cmn-并行.mp3]
病床	病床	bìng chuáng	hospital bed, sickbed	[sound:cmn-病床.mp3]
病症	病症	bìng zhèng	disease, illness	[sound:cmn-病症.mp3]
撥	拨	bō	move with hand/foot/stick/etc., turn, stir, poke	[sound:cmn-拨.mp3]
撥款	拨款	bō kuǎn	to allocate funds, appropriation	[sound:cmn-拨款.mp3]
撥通	拨通	bōtōng	Dial	[sound:cmn-拨通.mp3]
波及	波及	bōjí	affect, spread to	[sound:cmn-波及.mp3]
波瀾	波澜	bō lán	billows, great waves (fig. of a story with great momentum)	[sound:cmn-波澜.mp3]
波濤	波涛	bō tāo	great waves, billows	[sound:cmn-波涛.mp3]
波折	波折	bō zhé	twists and turns	[sound:cmn-波折.mp3]
剝奪	剥夺	bō duó	to deprive, to expropriate, to strip (sb of his property)	[sound:cmn-剥夺.mp3]
剝削	剥削	bō xuē	to exploit, exploitation	[sound:cmn-剥削.mp3]
伯伯	伯伯	bóbó	uncle-in-law, father's elder brother, uncle	[sound:cmn-伯伯.mp3]
伯父	伯父	bó fù	father's elder brother, term of respect for older man, CL:個|个[ge4]	[sound:cmn-伯父.mp3]
伯母	伯母	bó mǔ	wife of father's elder brother, aunt, (polite form of address for a woman who is about the age of one's mother), CL:個|个[ge4]	[sound:cmn-伯母.mp3]
駁回	驳回	bó huí	to reject, to turn down, to overrule	[sound:cmn-驳回.mp3]
脖子	脖子	bózi5	cervix, neck	[sound:cmn-脖子.mp3]
搏鬥	搏斗	bó doù	to wrestle, to fight, to struggle	[sound:cmn-搏斗.mp3]
不定	不定	búdìng	uncertain, indeterminate, indefinite, undetermined	[sound:cmn-不定.mp3]
不見得	不见得	bújiàndé	not likely, not necessarily/likely, likely, unlikely, not necessarily	[sound:cmn-不见得.mp3]
不利於	不利于	bulìyú	is harmful to	[sound:cmn-不利于.mp3]
不慎	不慎	bù shèn	incautious, inattentive	[sound:cmn-不慎.mp3]
不適	不适	búshì	unwell, indisposed	[sound:cmn-不适.mp3]
不算	不算	busuàn	Not count	[sound:cmn-不算.mp3]
不像話	不像话	bù xiàng huà	unreasonable, shocking, outrageous	[sound:cmn-不像话.mp3]
不屑	不屑	bù xiè	to disdain to do sth, to think sth not worth doing, to feel it beneath one's dignity	[sound:cmn-不屑.mp3]
不懈	不懈	bù xiè	untiring, unremitting, indefatigable	[sound:cmn-不懈.mp3]
不亞於	不亚于	bù yà yú	no less than, not inferior to	[sound:cmn-不亚于.mp3]
不亦樂乎	不亦乐乎	bù yì lè hū	lit. isn't that a joy? (quote from Confucius), fig. (jocularly) extremely, awfully	[sound:cmn-不亦乐乎.mp3]
不翼而飛	不翼而飞	bù yì ér fēi	to disappear without trace, to vanish all of a sudden, to spread fast, to spread like wildfire	[sound:cmn-不翼而飞.mp3]
不用說	不用说	bùyòngshuō	Needless to say	[sound:cmn-不用说.mp3]
不正之風	不正之风	bù zhèng zhī fēng	unhealthy tendency	[sound:cmn-不正之风.mp3]
補給	补给	bǔ jǐ	supply, replenishment, to replenish	[sound:cmn-补给.mp3]
補救	补救	bǔ jiù	to remedy	[sound:cmn-补救.mp3]
捕捉	捕捉	bǔzhuō	seizure, seize, tackle, capture, snare, nobble, get, catch	[sound:cmn-捕捉.mp3]
哺育	哺育	bǔ yù	to feed, to nurture, to foster	[sound:cmn-哺育.mp3]
不恥下問	不耻下问	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates	[sound:cmn-不耻下问.mp3]
不辭而別	不辞而别	bù cí ér bié	to leave without saying good-bye	[sound:cmn-不辞而别.mp3]
不得而知	不得而知	bù dé ér zhī	unknown, unable to find out	[sound:cmn-不得而知.mp3]
不得已	不得已	bù dé yǐ	to act against one's will, to have no alternative but to, to have to, to have no choice, must	[sound:cmn-不得已.mp3]
不妨	不妨	bùfáng	there is no harm in, might as well	[sound:cmn-不妨.mp3]
